,id,frame,x [nm],y [nm],knn,status,knn_set_group,knn_frames,barcodes,gene
149,146.0,13.0,142.575209004094,51.436768857929536,"[1, 30, 145, 163]",unconfirmed,2.0,"[0.0, 3.0, 13.0, 15.0]",1001000000000101,
150,147.0,13.0,145.54678932192058,57.44762200158567,"[127, 136, 146, 156]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
151,152.0,13.0,194.51792976666303,143.47740231263975,"[151, 160, 170]",corrected,3.0,"[13.0, 14.0, 15.0]",1000000000000111,E2f2
152,149.0,13.0,223.5548916837941,78.51410503711311,"[148, 157]",unconfirmed,2.0,"[13.0, 14.0]",0000000000000110,
153,159.0,14.0,54.5002430487037,84.57492445593603,"[128, 137, 149, 158]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
154,160.0,14.0,66.54462174616577,91.505702232358,"[3, 150, 159, 166]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
155,154.0,14.0,67.59126446828016,8.501903359812585,"[0, 144, 153, 162]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
156,162.0,14.0,141.40669036280374,206.67276526440983,"[133, 142, 152, 161]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
157,156.0,14.0,142.4843111871343,51.52855162027139,"[1, 30, 155, 163]",unconfirmed,3.0,"[0.0, 3.0, 14.0, 15.0]",1001000000000011,
158,157.0,14.0,145.49021229016196,57.580455658412674,"[127, 136, 146, 156]",confirmed,4.0,"[11.0, 12.0, 13.0, 14.0]",0000000000011110,Vcam1
159,161.0,14.0,194.49214260445316,143.52570962994318,"[151, 160, 170]",corrected,3.0,"[13.0, 14.0, 15.0]",1000000000000111,E2f2
160,155.0,14.0,204.51643978617264,23.53424253160971,"[100, 126, 135, 154]",unconfirmed,3.0,"[8.0, 11.0, 12.0, 14.0]",0000000010011010,
161,158.0,14.0,223.50351925617574,78.53533010969883,"[148, 157]",unconfirmed,2.0,"[13.0, 14.0]",0000000000000110,
162,175.0,15.0,7.510521759178731,194.4857244151424,"[25, 44, 86, 174]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
163,168.0,15.0,31.497749556639327,101.52329198232107,"[33, 167]",unconfirmed,2.0,"[3.0, 15.0]",0001000000000001,
164,179.0,15.0,42.54270888603897,234.55347076843967,"[7, 49, 62, 178]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
165,166.0,15.0,48.447968320081145,66.54885842764452,"[2, 147, 165]",corrected,3.0,"[0.0, 13.0, 15.0]",1000000000000111,E2f2
166,177.0,15.0,65.58625454676266,199.61723812186904,"[16, 46, 105, 176]",unconfirmed,3.0,"[1.0, 3.0, 8.0, 15.0]",0101000010000001,
167,167.0,15.0,66.33847385216097,91.55232012998829,"[3, 150, 159, 166]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
168,163.0,15.0,67.46594060497438,8.462508610812952,"[0, 144, 153, 162]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
169,170.0,15.0,116.48343331653307,125.46007478064458,"[4, 36, 56, 169]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
